"REFERENCE","ADDRESS","CATEGORY","LISTED","COUNCIL","PARISH"
"51326","STIRLING UNIVERSITY CAMPUS, BRIDGE OVER AIRTHREY LOCH","C","15/05/2009","STIRLING","LOGIE"
"51323","STIRLING UNIVERSITY CAMPUS, 2 AND 3 AIRTHREY CASTLE YARD, NUFFIELD STAFF HOUSES, INCLUDING BOUNDARY WALLS","B","15/05/2009","STIRLING","LOGIE"
"51151","GLEN FINGLAS DAM AND HYDRO-ELECTRIC POWER STATION (FORMER GLASGOW CORPORATION WATER WORKS)","C","18/08/2008","STIRLING","ABERFOYLE"
"51149","CLASHMORE TUNNEL VENTILATION SHAFT ENCLOSURES AND SIGHTING PILLAR (FORMER GLASGOW CORPORATION WATER WORKS)","C","18/08/2008","STIRLING","ABERFOYLE"
"50534","MILEPOST AT NN 52832 06470","C","21/07/2006","STIRLING","CALLANDER"
"8278","KILLIN, KINNELL, URN GATEPIERS ON WEST DRIVE (2ND OF 4 PAIRS)","C","05/10/1971","STIRLING","KILLIN"
"8283","KILLIN,  KINNELL HOUSE INCLUDING WALLED GARDEN AND ANCILLARY BUILDINGS","B","05/10/1971","STIRLING","KILLIN"
"8264","AUCHLYNE, AUCHLYNE HOUSE","B","05/10/1971","STIRLING","KILLIN"
"4199","EDINAMPLE MAUSOLEUM","B","05/10/1971","STIRLING","BALQUHIDDER"
"49500","BALQUHIDDER, CREAG AN TUIRC HOUSE","C","05/09/2003","STIRLING","BALQUHIDDER"
"4186","BALQUHIDDER, KIRKTON BRIDGE","C","05/10/1971","STIRLING","BALQUHIDDER"
"4138","GLEN OGLE, BRIDGE ON A85","C","06/09/1979","STIRLING","BALQUHIDDER"
"4194","STRATHYRE, BRIDGE OVER THE RIVER BALVAG","B","05/10/1971","STIRLING","BALQUHIDDER"
"4189","STRONVAR FARM","B","05/09/1973","STIRLING","BALQUHIDDER"
"4187","STRONVAR BRIDGE OVER RIVER BALVAG","B","05/09/1973","STIRLING","BALQUHIDDER"
"50332","KILLIN, MANSE ROAD, MANSEFIELD","C","04/05/2006","STIRLING","KILLIN"
"50454","BUCHANAN CASTLE ESTATE,  WELL HOUSE, NS45869/88850","B","04/05/2006","STIRLING","BUCHANAN"
"4086","BUCHANAN SMITHY COTTAGES, NOS 1-10 INCLUSIVE","C","06/09/1979","STIRLING","BUCHANAN"
"50464","STRONACHLACHAR, PIER BUILDING AND PIER INCLUDING REVETMENT WALLS AND RAILINGS","C","04/05/2006","STIRLING","BUCHANAN"
"4014","CALLANDRADE","C","06/09/1979","STIRLING","CALLANDER"
"4021","KILMAHOG BRIDGE OVER GARBH UISGE","B","05/10/1971","STIRLING","CALLANDER"
"8280","KILLIN, KINNELL, URN GATEPIERS ON WEST DRIVE (1ST OF 4 PAIRS)","C","05/10/1971","STIRLING","KILLIN"
"50402","MILEPOST AT PASS OF TROSSACHS NN 50131 06829","C","04/05/2006","STIRLING","CALLANDER"
"4066","LOCH KATRINE, PORTNELLAN, MACGREGOR OF GLENGYLE BURIAL GROUND","C","05/10/1971","STIRLING","CALLANDER"
"3980","LENY HOUSE WALLED GARDEN INCLUDING OUTBUILDING","B","05/10/1971","STIRLING","CALLANDER"
"50376","BRIDGEND, TEITHSIDE HOUSE INCLUDING LOW BOUNDARY WALL AND GATEPIERS TO WEST","C","04/05/2006","STIRLING","CALLANDER"
"50382","2, 4 AND 6 BRIDGE STREET INCLUDING BOUNDARY WALL","C","04/05/2006","STIRLING","CALLANDER"
"50388","35, 36, 37 AND 39 MAIN STREET INCLUDING 2, 4 AND 6 CROSS STREET (FORMERLY ANCASTER ARMS HOTEL)","C","04/05/2006","STIRLING","CALLANDER"
"22908","192 MAIN STREET, MURDISTON HOUSE INCLUDING RETAINING WALL AND RAILING TO N","B","05/10/1971","STIRLING","CALLANDER"
"50390","101 MAIN STREET, THE CRAGS HOTEL","C","04/05/2006","STIRLING","CALLANDER"
"50408","GARTMORE, MAIN STREET, ARDVULAN","C","04/05/2006","STIRLING","PORT OF MENTEITH"
"50291","ABERFOYLE, NOS 1, 2, 3 AND 4 STATION COTTAGES","C","04/05/2006","STIRLING","ABERFOYLE"
"50372","LOCH EARN, DALVEICH, COTTAGE","B","04/05/2006","STIRLING","COMRIE"
"50418","OVER SHANNOCHILL","C","04/05/2006","STIRLING","PORT OF MENTEITH"
"18484","GARTMORE, THE SQUARE, K6 TELEPHONE KIOSK","B","23/02/1990","STIRLING","PORT OF MENTEITH"
"50138","CASTLE REDNOCK, ESTATE SAW MILL, SEASONING SHED","B","08/08/2005","STIRLING","PORT OF MENTEITH"
"19707","GARTMORE HOUSE, GARTARTAN LODGE INCLUDING BOUNDARY WALLS, GATEPIERS AND GATES","B","06/09/1979","STIRLING","PORT OF MENTEITH"
"15050","PORT OF MENTEITH, MENTEITH HOUSE (FORMER MANSE) GATEPIERS AND GATES","C","06/09/1979","STIRLING","PORT OF MENTEITH"
"50129","ABERFOYLE, MAIN STREET, A2Z AND THE CLACHAN HOTEL","B","23/06/2005","STIRLING","ABERFOYLE"
"50296","LOCH ARD, LEDARD FARM, OLD BARN","C","04/05/2006","STIRLING","ABERFOYLE"
"50299","MILEPOST AT NN40347/08862","C","04/05/2006","STIRLING","ABERFOYLE"
"4219","DUN DHU (ALSO KNOWN AS DUN DUBH OR MELL MHOR)","C","05/10/1971","STIRLING","ABERFOYLE"
"50203","60, 62, 64, 66, 68 MURRAY PLACE","C","31/01/2006","STIRLING","STIRLING"
"48999","CLACHANRY FARMHOUSE AND ATTACHED WINGS","C","30/10/2002","STIRLING","DRYMEN"
"48995","BALFUNNING HOUSE, FORMER STABLE BLOCK (EAST AND WEST STABLES)","C","30/10/2002","STIRLING","DRYMEN"
"4201","BALLINDALLOCH, SUNDIAL TO SOUTH OF BALLINDALLOCH","B","05/09/1973","STIRLING","BALFRON"
"49656","21, 23, 25, BAKER STREET","C","23/02/2004","STIRLING","STIRLING"
"26419","7 STIRLING ROAD","B","28/10/1976","STIRLING","DUNBLANE"
"15276","MILNHOLM HATCHERY, FOOTBRIDGE OVER LOCH COULTER BURN","C","09/01/1981","STIRLING","ST NINIAN'S"
"48879","146 DRIP ROAD, KILDEAN HOSPITAL, INCLUDING BOUNDARY WALL AND GATEPIERS","C","05/09/2002","STIRLING","STIRLING"
"173","LECROPT CHURCH","A","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"3930","KIPPENROSS WALLED GARDEN","B","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"3909","KILBRYDE CASTLE","B","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"3994","OLD GLASSINGAL HOUSE","B","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"3985","RYLAND (FORMERLY KIPPENDAVIE) LODGE, DUNBLANE","C","06/09/1979","STIRLING","DUNBLANE AND LECROPT"
"8139","NORRIESTON HOUSE AND HEATHERLEA THORNHILL","C","06/09/1979","STIRLING","KINCARDINE-IN-MENTEITH"
"10435","ARRONLEA, AND EASTER HOUSE","B","05/10/1971","STIRLING","GARGUNNOCK"
"10440","SUNDIAL, GARGUNNOCK","B","05/10/1971","STIRLING","GARGUNNOCK"
"10441","DOVECOT, GARGUNNOCK","B","05/10/1971","STIRLING","GARGUNNOCK"
"3979","KEIR HOUSE WATER GARDEN","C","05/10/1971","STIRLING","DUNBLANE AND LECROPT"
"8287","BREADALBANE MAUSOLEUM, NORTH GATES","C","06/09/1979","STIRLING","KILLIN"
"8412","LOCH-HILLS COTTAGE","B","05/10/1971","STIRLING","KINCARDINE-IN-MENTEITH"
"8241","CAMBUSMORE - LODGE AND GATES","B","05/10/1971","STIRLING","KILMADOCK"
"8255","GARTINCABER HOUSE","B","05/10/1971","STIRLING","KILMADOCK"
"8256","GARTINCABER TOWER","B","05/10/1971","STIRLING","KILMADOCK"
"8257","GARTINCABER HOUSE - STABLES","C","06/09/1979","STIRLING","KILMADOCK"
"8262","GLENLOCHAY HOUSE","C","06/09/1979","STIRLING","KILLIN"
"10392","BOQUHAN OLD HOUSE","B","05/09/1973","STIRLING","KILLEARN"
"10394","OLD BALLIKINRAIN","B","05/09/1973","STIRLING","KILLEARN"
"10386","PARISH CHURCH (CHURCH HALL)","B","05/09/1973","STIRLING","KILLEARN"
"8222","DOUNE WALLED GARDEN","C","06/09/1979","STIRLING","KILMADOCK"
"8192","GRIBLOCH HOUSE GARAGE AND STAFF ACCOMMODATION","B","19/08/1986","STIRLING","KIPPEN"
"8213","KILMADOCK CHURCH (RUINS) AND GRAVEYARD","B","05/10/1971","STIRLING","KILMADOCK"
"8187","BUCHLYVIE, MAIN STREET, WILLOW COTTAGE","C","22/06/1989","STIRLING","KIPPEN"
"10462","BLAIRLOGIE COTTAGE","B","28/10/1976","STIRLING","LOGIE"
"10469","LOW BRIDGE OF GONACHAN, NEAR FINTRY","B","05/10/1971","STIRLING","FINTRY"
"10421","MOSS","C","06/09/1979","STIRLING","KILLEARN"
"10410","OCHIL NEUK","B","28/10/1976","STIRLING","LOGIE"
"10408","BLAIRLOGIE UNITED FREE CHURCH","B","05/09/1973","STIRLING","LOGIE"
"8177","JEAN DONALDSON AND FORMER POST OFFICE MAIN STREET (NORTH SIDE)","C","06/09/1979","STIRLING","KIPPEN"
"15070","REDNOCK HOUSE - WALLED GARDEN","B","05/10/1971","STIRLING","PORT OF MENTEITH"
"15335","LEDDRIE GREEN HOUSE","B","19/08/1986","STIRLING","STRATHBLANE"
"15332","LOW AUCHENGILLAN","B","05/09/1973","STIRLING","STRATHBLANE"
"13849","CLACHAN COTTAGE, CARBETH","C","06/09/1979","STIRLING","STRATHBLANE"
"13677","MAINS OF INVERARDOCH, DOOCOT AND PART OF STEADING ADJOINING.","B","05/10/1971","STIRLING","KILMADOCK"
"10401","BLAIRVIEW COTTAGE HILLSIDE CROWSTEPPS READING ROOM. DUNYAT, IVY COTTAGE","B","05/09/1973","STIRLING","LOGIE"
"10403","TELFORD HOUSE","B","28/10/1976","STIRLING","LOGIE"
"15055","DYKEHEAD COTTAGES AND FORMER LIBRARY","B","05/10/1971","STIRLING","PORT OF MENTEITH"
"15282","STABLES, PLEAN HOUSE","C","06/09/1979","STIRLING","ST NINIAN'S"
"15300","DOVECOT, OLD SAUCHIE","B","05/09/1973","STIRLING","ST NINIAN'S"
"15296","DOVECOT, TOUCH","B","05/09/1973","STIRLING","ST NINIAN'S"
"26395","61 HIGH STREET INCLUDING GATEPIERS","B","28/10/1976","STIRLING","DUNBLANE"
"48954","57 AND 59 HIGH STREET","C","17/10/2002","STIRLING","DUNBLANE"
"24695","41 MAIN STREET","C","06/09/1979","STIRLING","DOUNE"
